ANNOVAR:
  buildver: hg19
    - PMS2_SPORADIC_FAM24_NA
    - PMS2_SPORADIC_FAM24_GT
    - PMS2_SPORADIC_FAM24_AF
    - AXEQ_CHR3_6_14_18_WT
    - AXEQ_CHR3_6_14_18_HET
    - AXEQ_CHR3_6_14_18_HOM
    - AXEQ_CHR3_6_14_18_OTH
    - AXEQ_CHR3_6_14_18_NA
    - AXEQ_CHR3_6_14_18_GT
    - AXEQ_CHR3_6_14_18_AF
    - AXEQ_CHR5_19_WT
    - AXEQ_CHR5_19_HET
    - AXEQ_CHR5_19_HOM
    - AXEQ_CHR5_19_OTH
    - AXEQ_CHR5_19_NA
    - AXEQ_CHR5_19_GT
    - AXEQ_CHR5_19_AF
    - AXEQ_CHR9_WT
    - AXEQ_CHR9_HET
    - AXEQ_CHR9_HOM
    - AXEQ_CHR9_OTH
    - AXEQ_CHR9_NA
    - AXEQ_CHR9_GT
    - AXEQ_CHR9_AF
    - SIFT_score
    - SIFT_pred
    - Polyphen2_HDIV_score
    - Polyphen2_HDIV_pred
    - Polyphen2_HVAR_score
    - Polyphen2_HVAR_pred
    - LRT_score
    - LRT_pred
    - MutationTaster_score
    - MutationTaster_pred
    - MutationAssessor_score
    - MutationAssessor_pred
    - FATHMM_score
    - FATHMM_pred
    - RadialSVM_score
    - RadialSVM_pred
    - LR_score
    - LR_pred
    - VEST3_score
    - CADD_raw
    - CADD_phred
    - GERP++_RS
    - phyloP46way_placental
    - phyloP100way_vertebrate
  EXTRA_ANNOTATION_COLUMNS:
    - Calling_detail
  FREQUENCY_RATIOS:
    - COLUMN: 1000g2014oct_all
      FREQUENCY: 0.2
  ONLY_FAMILIES: true
  ONLY_SUMMARY: false
  REGIONS:
    - 1:45794913-45806142
    - 2:47596286-47614167
    - 2:47630205-47710367
    - 2:48010220-48034092
    - 2:190648810-190742355
    - 3:37034840-37092337
    - 3:41240941-41281939
    - 5:79950466-80172634
    - 5:112043201-112181936
    - 7:6012869-6048737
    - 7:116312458-116438440
    - 9:101569980-101612363
    - 10:88516395-88684945
    - 10:89623194-89731687
    - 12:133200347-133264110
    - 14:75480466-75518235
    - 15:33010204-33026870
    - 16:68771194-68869444
    - 17:7571719-7590868
    - 17:63524682-63557740
    - 18:48556582-48611411
    - 19:1205797-1228434
    - 19:50887579-50921275
    - 22:29083730-29137822
  ROWS_FILTER_ACTIONS_CRITERIA:
    - Rare
    - Non-Intergenic
    - Non-Intronic
    - Non-Synonymous
    - Has-Mutation
  SPLIT_CHROM: false
  SUMMARY_FAMILIES: true
RPT_ALLOC_TIME: "12:00:00"
SAMPLE_INFOS:
  - FAMILY_ID: 24
    MEMBERS:
      - SAMPLE_ID: "Co-166"
      - SAMPLE_ID: "Co-213"
VCF_TABIX_FILE: /glob/jessada/private/master_data/CMM/CMM_Axeq_b2012247/Axeq_chr9.vcf.gz
