##DATASET_NAME=axeq_chr5_19
##PROJECT_CODE=b2011097
##REFERENCE=/glob/jessada/private/master_data/reference/Homo_sapiens.GRCh37.57.dna.concat.fa
##KNOWN_INDELS=/glob/jessada/private/master_data/GATK_BestPractice_test_data/known_indels_SNPs/1000G_phase1.indels.b37.vcf,/glob/jessada/private/master_data/GATK_BestPractice_test_data/known_indels_SNPs/Mills_and_1000G_gold_standard.indels.b37.vcf
##DBSNP=/glob/jessada/private/master_data/GATK_BestPractice_test_data/known_indels_SNPs/dbsnp_138.b37.vcf
##OUTPUT_DIR=/proj/b2011117/nobackup/private/gatkbp/axeq_chr5_19
##VARIANTS_CALLING=YES
##JOBS_REPORT_FILE=/proj/b2011117/nobackup/private/gatkbp/axeq_chr5_19/jobs_rpt.txt
##TARGETS_INTERVAL_LIST=/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/axeq_chr5_19.targets.interval_list
##USAGE_MAIL=NO
#SAMPLE	FASTQ1	FASTQ2	SAMPLE_GROUP	PLATFORM	LIBRARY	UNIT	USAGE_MAIL	PREPROCESS_SAMPLE
Co-1178	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-1178_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-1178_2.fastq.gz	1303AHS-0016	Illumina	lib1	unit1	NO	YES
Co-1194	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-1194_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-1194_2.fastq.gz	1303AHS-0016	Illumina	lib1	unit1	NO	YES
Co-1215	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-1215_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-1215_2.fastq.gz	1303AHS-0016	Illumina	lib1	unit1	NO	YES
Co-1225	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-1225_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-1225_2.fastq.gz	1303AHS-0016	Illumina	lib1	unit1	NO	YES
Co-1274	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-1274_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-1274_2.fastq.gz	1303AHS-0016	Illumina	lib1	unit1	NO	YES
Co-1305	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-1305_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-1305_2.fastq.gz	1303AHS-0016	Illumina	lib1	unit1	NO	YES
Co-135	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-135_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-135_2.fastq.gz	1303AHS-0016	Illumina	lib1	unit1	NO	YES
Co-1448	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-1448_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-1448_2.fastq.gz	1303AHS-0016	Illumina	lib1	unit1	NO	YES
Co-154	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-154_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-154_2.fastq.gz	1303AHS-0016	Illumina	lib1	unit1	NO	YES
Co-1616	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-1616_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-1616_2.fastq.gz	1303AHS-0016	Illumina	lib1	unit1	NO	YES
Co-1666	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-1666_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-1666_2.fastq.gz	1303AHS-0016	Illumina	lib1	unit1	NO	YES
Co-1674	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-1674_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-1674_2.fastq.gz	1303AHS-0016	Illumina	lib1	unit1	NO	YES
Co-1685	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-1685_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-1685_2.fastq.gz	1303AHS-0016	Illumina	lib1	unit1	NO	YES
Co-1719	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-1719_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-1719_2.fastq.gz	1303AHS-0016	Illumina	lib1	unit1	NO	YES
Co-1723	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-1723_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-1723_2.fastq.gz	1303AHS-0016	Illumina	lib1	unit1	NO	YES
Co-1747	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-1747_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-1747_2.fastq.gz	1303AHS-0016	Illumina	lib1	unit1	NO	YES
Co-1780	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-1780_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-1780_2.fastq.gz	1303AHS-0016	Illumina	lib1	unit1	NO	YES
Co-201	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-201_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-201_2.fastq.gz	1303AHS-0016	Illumina	lib1	unit1	NO	YES
Co-282	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-282_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-282_2.fastq.gz	1303AHS-0016	Illumina	lib1	unit1	NO	YES
Co-305	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-305_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-305_2.fastq.gz	1303AHS-0016	Illumina	lib1	unit1	NO	YES
Co-452	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-452_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-452_2.fastq.gz	1303AHS-0016	Illumina	lib1	unit1	NO	YES
Co-555	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-555_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-555_2.fastq.gz	1303AHS-0016	Illumina	lib1	unit1	NO	YES
Co-603	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-603_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-603_2.fastq.gz	1303AHS-0016	Illumina	lib1	unit1	NO	YES
Co-616	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-616_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-616_2.fastq.gz	1303AHS-0016	Illumina	lib1	unit1	NO	YES
Co-618	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-618_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-618_2.fastq.gz	1303AHS-0016	Illumina	lib1	unit1	NO	YES
Co-666	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-666_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-666_2.fastq.gz	1303AHS-0016	Illumina	lib1	unit1	NO	YES
Co-700	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-700_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-700_2.fastq.gz	1303AHS-0016	Illumina	lib1	unit1	NO	YES
Co-704	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-704_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-704_2.fastq.gz	1303AHS-0016	Illumina	lib1	unit1	NO	YES
Co-803	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-803_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-803_2.fastq.gz	1303AHS-0016	Illumina	lib1	unit1	NO	YES
Co-809	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-809_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-809_2.fastq.gz	1303AHS-0016	Illumina	lib1	unit1	NO	YES
Co-840	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-840_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-840_2.fastq.gz	1303AHS-0016	Illumina	lib1	unit1	NO	YES
Co-866	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-866_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-866_2.fastq.gz	1303AHS-0016	Illumina	lib1	unit1	NO	YES
Co-876	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-876_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-876_2.fastq.gz	1303AHS-0016	Illumina	lib1	unit1	NO	YES
Co-90	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-90_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-90_2.fastq.gz	1303AHS-0016	Illumina	lib1	unit1	NO	YES
Co-95	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-95_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-95_2.fastq.gz	1303AHS-0016	Illumina	lib1	unit1	NO	YES
