##DATASET_NAME=axeq_chr3_6_14_18
##PROJECT_CODE=b2011097
##REFERENCE=/glob/jessada/private/master_data/reference/Homo_sapiens.GRCh37.57.dna.concat.fa
##KNOWN_INDELS=/glob/jessada/private/master_data/GATK_BestPractice_test_data/known_indels_SNPs/1000G_phase1.indels.b37.vcf,/glob/jessada/private/master_data/GATK_BestPractice_test_data/known_indels_SNPs/Mills_and_1000G_gold_standard.indels.b37.vcf
##DBSNP=/glob/jessada/private/master_data/GATK_BestPractice_test_data/known_indels_SNPs/dbsnp_138.b37.vcf
##OUTPUT_DIR=/proj/b2011117/private/gatkbp/axeq_chr3_6_14_18
##VARIANTS_CALLING=YES
##JOBS_REPORT_FILE=/proj/b2011117/nobackup/private/gatkbp/axeq_chr3_6_14_18/jobs_rpt.txt
##TARGETS_INTERVAL_LIST=/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/axeq_chr3_6_14_18.targets.interval_list
##USAGE_MAIL=NO
#SAMPLE	FASTQ1	FASTQ2	SAMPLE_GROUP	PLATFORM	LIBRARY	UNIT	USAGE_MAIL	PREPROCESS_SAMPLE
Al-36	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Al-36_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Al-36_2.fastq.gz	1302AHS-0022	Illumina	lib1	unit1	NO	YES
Al-47	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Al-47_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Al-47_2.fastq.gz	1302AHS-0022	Illumina	lib1	unit1	NO	YES
Al-65	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Al-65_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Al-65_2.fastq.gz	1302AHS-0022	Illumina	lib1	unit1	NO	YES
Al-73	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Al-73_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Al-73_2.fastq.gz	1302AHS-0022	Illumina	lib1	unit1	NO	YES
Al-77	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Al-77_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Al-77_2.fastq.gz	1302AHS-0022	Illumina	lib1	unit1	NO	YES
Al-92	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Al-92_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Al-92_2.fastq.gz	1302AHS-0022	Illumina	lib1	unit1	NO	YES
Alb-31	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Alb-31_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Alb-31_2.fastq.gz	1302AHS-0022	Illumina	lib1	unit1	NO	YES
Br-114	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-114_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-114_2.fastq.gz	1302AHS-0022	Illumina	lib1	unit1	NO	YES
Br-120	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-120_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-120_2.fastq.gz	1302AHS-0022	Illumina	lib1	unit1	NO	YES
Br-176	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-176_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-176_2.fastq.gz	1302AHS-0022	Illumina	lib1	unit1	NO	YES
Br-289	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-289_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-289_2.fastq.gz	1302AHS-0022	Illumina	lib1	unit1	NO	YES
Br-294	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-294_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-294_2.fastq.gz	1302AHS-0022	Illumina	lib1	unit1	NO	YES
Br-296	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-296_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-296_2.fastq.gz	1302AHS-0022	Illumina	lib1	unit1	NO	YES
Br-312	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-312_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-312_2.fastq.gz	1302AHS-0022	Illumina	lib1	unit1	NO	YES
Br-316	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-316_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-316_2.fastq.gz	1302AHS-0022	Illumina	lib1	unit1	NO	YES
Br-331	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-331_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-331_2.fastq.gz	1302AHS-0022	Illumina	lib1	unit1	NO	YES
Br-361	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-361_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-361_2.fastq.gz	1302AHS-0022	Illumina	lib1	unit1	NO	YES
Br-366	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-366_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-366_2.fastq.gz	1302AHS-0022	Illumina	lib1	unit1	NO	YES
Br-390	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-390_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-390_2.fastq.gz	1302AHS-0022	Illumina	lib1	unit1	NO	YES
Br-399	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-399_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-399_2.fastq.gz	1302AHS-0022	Illumina	lib1	unit1	NO	YES
Br-409	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-409_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-409_2.fastq.gz	1302AHS-0022	Illumina	lib1	unit1	NO	YES
Br-418	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-418_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-418_2.fastq.gz	1302AHS-0022	Illumina	lib1	unit1	NO	YES
Br-419	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-419_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-419_2.fastq.gz	1302AHS-0022	Illumina	lib1	unit1	NO	YES
Br-429	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-429_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-429_2.fastq.gz	1302AHS-0022	Illumina	lib1	unit1	NO	YES
Br-432	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-432_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-432_2.fastq.gz	1302AHS-0022	Illumina	lib1	unit1	NO	YES
Br-466	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-466_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-466_2.fastq.gz	1302AHS-0022	Illumina	lib1	unit1	NO	YES
Br-472	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-472_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-472_2.fastq.gz	1302AHS-0022	Illumina	lib1	unit1	NO	YES
Br-474	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-474_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-474_2.fastq.gz	1302AHS-0022	Illumina	lib1	unit1	NO	YES
Br-504	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-504_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-504_2.fastq.gz	1302AHS-0022	Illumina	lib1	unit1	NO	YES
Br-55	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-55_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-55_2.fastq.gz	1302AHS-0022	Illumina	lib1	unit1	NO	YES
Br-637	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-637_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-637_2.fastq.gz	1302AHS-0022	Illumina	lib1	unit1	NO	YES
Br-693	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-693_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-693_2.fastq.gz	1302AHS-0022	Illumina	lib1	unit1	NO	YES
Br-702	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-702_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-702_2.fastq.gz	1302AHS-0022	Illumina	lib1	unit1	NO	YES
Br-706	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-706_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-706_2.fastq.gz	1302AHS-0022	Illumina	lib1	unit1	NO	YES
Br-781	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-781_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-781_2.fastq.gz	1302AHS-0022	Illumina	lib1	unit1	NO	YES
Br-783	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-783_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Br-783_2.fastq.gz	1302AHS-0022	Illumina	lib1	unit1	NO	YES
Co-323	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Co-323_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Co-323_2.fastq.gz	1302AHS-0022	Illumina	lib1	unit1	NO	YES
Co-328	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Co-328_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Co-328_2.fastq.gz	1302AHS-0022	Illumina	lib1	unit1	NO	YES
