ANNOVAR:
  buildver: hg19
      - SAMPLE_ID: "Co-384"
  - FAMILY_ID: 208
    MEMBERS:
      - SAMPLE_ID: "Co-1094"
  - FAMILY_ID: 221
    MEMBERS:
      - SAMPLE_ID: "Co-358"
  - FAMILY_ID: 227
    MEMBERS:
      - SAMPLE_ID: "Co-364"
  - FAMILY_ID: 231
    MEMBERS:
      - SAMPLE_ID: "Co-555"
  - FAMILY_ID: 237
    MEMBERS:
      - SAMPLE_ID: "Co-452"
  - FAMILY_ID: 242
    MEMBERS:
      - SAMPLE_ID: "Co-666"
  - FAMILY_ID: 254
    MEMBERS:
      - SAMPLE_ID: "Co-616"
  - FAMILY_ID: 288
    MEMBERS:
      - SAMPLE_ID: "Co-1141"
  - FAMILY_ID: 296
    MEMBERS:
      - SAMPLE_ID: "Co-876"
  - FAMILY_ID: 301
    MEMBERS:
      - SAMPLE_ID: "Co-1315"
  - FAMILY_ID: 306
    MEMBERS:
      - SAMPLE_ID: "Co-779"
  - FAMILY_ID: 309
    MEMBERS:
      - SAMPLE_ID: "Co-783"
  - FAMILY_ID: 322
    MEMBERS:
      - SAMPLE_ID: "Co-852"
  - FAMILY_ID: 325
    MEMBERS:
      - SAMPLE_ID: "Co-851"
  - FAMILY_ID: 340
    MEMBERS:
      - SAMPLE_ID: "Co-831"
  - FAMILY_ID: 397
    MEMBERS:
      - SAMPLE_ID: "Co-1123"
  - FAMILY_ID: 413
    MEMBERS:
      - SAMPLE_ID: "Co-1215"
  - FAMILY_ID: 415
    MEMBERS:
      - SAMPLE_ID: "Co-1031"
  - FAMILY_ID: 425
    MEMBERS:
      - SAMPLE_ID: "Co-1458"
  - FAMILY_ID: 547
    MEMBERS:
      - SAMPLE_ID: "Co-1621"
  - FAMILY_ID: 739
    MEMBERS:
      - SAMPLE_ID: "Co-1467"
  - FAMILY_ID: 869
    MEMBERS:
      - SAMPLE_ID: "Co-1685"
  - FAMILY_ID: 975
    MEMBERS:
      - SAMPLE_ID: "Co-1600"
  - FAMILY_ID: 1025
    MEMBERS:
      - SAMPLE_ID: "Co-1529"
  - FAMILY_ID: 1085
    MEMBERS:
      - SAMPLE_ID: "Co-1518"
  - FAMILY_ID: 1213
    MEMBERS:
      - SAMPLE_ID: "Co-1666"
  - FAMILY_ID: 1252
    MEMBERS:
      - SAMPLE_ID: "Co-1719"
  - FAMILY_ID: 1290
    MEMBERS:
      - SAMPLE_ID: "Co-1723"
  - FAMILY_ID: Unknown
    MEMBERS:
      - SAMPLE_ID: "Co-1762"
VCF_TABIX_FILE: /glob/jessada/private/master_data/CMM/CMM_Axeq_b2012247/Axeq_chr9.vcf.gz
